hessian,prompt,pos,token,is_sink,znorm,r_sq,amp,pred_ratio,cos_pred
full,0,0,<|begin_of_text|>,1,480.895,5.28398,0.00478003,0.998752,0.999989
full,0,1,<|begin_of_text|>,1,480.895,5.28398,0.00478003,0.998752,0.999989
full,0,2,<|start_header_id|>,0,2.18283,14.5721,1.7488,1.42626,-0.00844551
full,0,3,system,0,1.06986,1.43805,1.12088,0.641875,0.121227
full,0,4,<|end_header_id|>,0,0.928914,17.5979,4.51601,4.51537,0.110094
full,0,5,ĊĊ,0,1.01053,1.53443,1.22581,0.801163,0.086908
full,0,6,Cut,0,0.900371,0.759045,0.967637,0.238529,0.252747
full,0,7,ting,0,1.01261,1.09812,1.03486,0.462607,0.154641
full,1,0,<|begin_of_text|>,1,480.895,4.7062,0.00451112,0.998834,0.99999
full,1,1,<|begin_of_text|>,1,480.895,4.7062,0.00451112,0.998834,0.99999
full,1,2,<|start_header_id|>,0,2.18303,14.6982,1.7562,1.43535,-0.00836014
full,1,3,system,0,1.06979,1.44382,1.1232,0.645719,0.120309
full,1,4,<|end_header_id|>,0,0.924027,17.3352,4.50589,4.50872,0.113724
full,1,5,ĊĊ,0,1.01042,1.54185,1.22891,0.805038,0.0856244
full,1,6,Cut,0,0.900442,0.758857,0.967441,0.235574,0.253749
full,1,7,ting,0,1.01186,1.10087,1.03692,0.469157,0.154424
full,2,0,<|begin_of_text|>,1,480.895,4.7062,0.00451112,0.998834,0.99999
full,2,1,<|begin_of_text|>,1,480.895,4.7062,0.00451112,0.998834,0.99999
full,2,2,<|start_header_id|>,0,2.18303,14.6982,1.7562,1.43535,-0.00836014
full,2,3,system,0,1.06979,1.44382,1.1232,0.645719,0.120309
full,2,4,<|end_header_id|>,0,0.924027,17.3352,4.50589,4.50872,0.113724
full,2,5,ĊĊ,0,1.01042,1.54185,1.22891,0.805038,0.0856244
full,2,6,Cut,0,0.900442,0.758857,0.967441,0.235574,0.253749
full,2,7,ting,0,1.01186,1.10087,1.03692,0.469157,0.154424
full,3,0,<|begin_of_text|>,1,480.895,5.28398,0.00478003,0.998752,0.999989
full,3,1,<|begin_of_text|>,1,480.895,5.28398,0.00478003,0.998752,0.999989
full,3,2,<|start_header_id|>,0,2.18283,14.5721,1.7488,1.42626,-0.00844551
full,3,3,system,0,1.06986,1.43805,1.12088,0.641875,0.121227
full,3,4,<|end_header_id|>,0,0.928914,17.5979,4.51601,4.51537,0.110094
full,3,5,ĊĊ,0,1.01053,1.53443,1.22581,0.801163,0.086908
full,3,6,Cut,0,0.900371,0.759045,0.967637,0.238529,0.252747
full,3,7,ting,0,1.01261,1.09812,1.03486,0.462607,0.154641
full,4,0,<|begin_of_text|>,1,480.895,4.70355,0.00450985,0.998834,0.99999
full,4,1,<|begin_of_text|>,1,480.895,4.70355,0.00450985,0.998834,0.99999
full,4,2,<|start_header_id|>,0,2.18742,14.6021,1.74693,1.42409,-0.00833404
full,4,3,system,0,1.06948,1.43545,1.12027,0.640741,0.121386
full,4,4,<|end_header_id|>,0,0.921628,17.1902,4.49868,4.50085,0.113264
full,4,5,ĊĊ,0,1.01076,1.55376,1.23323,0.811781,0.0850856
full,4,6,Cut,0,0.900532,0.757391,0.96641,0.224381,0.259379
full,4,7,ting,0,1.01143,1.09248,1.03341,0.458894,0.155432
full,5,0,<|begin_of_text|>,1,480.895,5.28398,0.00478003,0.998752,0.999989
full,5,1,<|begin_of_text|>,1,480.895,5.28398,0.00478003,0.998752,0.999989
full,5,2,<|start_header_id|>,0,2.18283,14.5721,1.7488,1.42626,-0.00844551
full,5,3,system,0,1.06986,1.43805,1.12088,0.641875,0.121227
full,5,4,<|end_header_id|>,0,0.928914,17.5979,4.51601,4.51537,0.110094
full,5,5,ĊĊ,0,1.01053,1.53443,1.22581,0.801163,0.086908
full,5,6,Cut,0,0.900371,0.759045,0.967637,0.238529,0.252747
full,5,7,ting,0,1.01261,1.09812,1.03486,0.462607,0.154641
full,6,0,<|begin_of_text|>,1,480.895,4.70355,0.00450985,0.998834,0.99999
full,6,1,<|begin_of_text|>,1,480.895,4.70355,0.00450985,0.998834,0.99999
full,6,2,<|start_header_id|>,0,2.18742,14.6021,1.74693,1.42409,-0.00833404
full,6,3,system,0,1.06948,1.43545,1.12027,0.640741,0.121386
full,6,4,<|end_header_id|>,0,0.921628,17.1902,4.49868,4.50085,0.113264
full,6,5,ĊĊ,0,1.01076,1.55376,1.23323,0.811781,0.0850856
full,6,6,Cut,0,0.900532,0.757391,0.96641,0.224381,0.259379
full,6,7,ting,0,1.01143,1.09248,1.03341,0.458894,0.155432
full,7,0,<|begin_of_text|>,1,480.895,4.70355,0.00450985,0.998834,0.99999
full,7,1,<|begin_of_text|>,1,480.895,4.70355,0.00450985,0.998834,0.99999
full,7,2,<|start_header_id|>,0,2.18742,14.6021,1.74693,1.42409,-0.00833404
full,7,3,system,0,1.06948,1.43545,1.12027,0.640741,0.121386
full,7,4,<|end_header_id|>,0,0.921628,17.1902,4.49868,4.50085,0.113264
full,7,5,ĊĊ,0,1.01076,1.55376,1.23323,0.811781,0.0850856
full,7,6,Cut,0,0.900532,0.757391,0.96641,0.224381,0.259379
full,7,7,ting,0,1.01143,1.09248,1.03341,0.458894,0.155432
full,8,0,<|begin_of_text|>,1,480.895,5.87192,0.00503894,0.998671,0.999988
full,8,1,<|begin_of_text|>,1,480.895,5.87192,0.00503894,0.998671,0.999988
full,8,2,<|start_header_id|>,0,2.18391,14.5625,1.74737,1.42485,-0.00810638
full,8,3,system,0,1.06968,1.43653,1.12048,0.641026,0.121249
full,8,4,<|end_header_id|>,0,0.928152,17.5775,4.5171,4.51877,0.112326
full,8,5,ĊĊ,0,1.01169,1.55523,1.23268,0.810538,0.0848037
full,8,6,Cut,0,0.899934,0.760061,0.968754,0.247279,0.248026
full,8,7,ting,0,1.01256,1.09579,1.03381,0.4601,0.155318
full,9,0,<|begin_of_text|>,1,480.895,4.70355,0.00450985,0.998834,0.99999
full,9,1,<|begin_of_text|>,1,480.895,4.70355,0.00450985,0.998834,0.99999
full,9,2,<|start_header_id|>,0,2.18742,14.6021,1.74693,1.42409,-0.00833404
full,9,3,system,0,1.06948,1.43545,1.12027,0.640741,0.121386
