hessian,prompt,pos,token,is_sink,znorm,r_sq,amp,pred_ratio,cos_pred
full,0,0,<|begin_of_text|>,1,480.895,5.86821,0.00503735,0.998957,0.999988
full,0,1,<|begin_of_text|>,1,480.895,5.86821,0.00503735,0.998957,0.999988
full,0,2,<|start_header_id|>,0,2.18283,1.84973,0.623065,0.601998,0.809132
full,0,3,system,0,1.06986,0.727765,0.797386,0.44879,0.630125
full,0,4,<|end_header_id|>,0,0.928914,6.6997,2.78646,2.78202,0.175283
full,0,5,ĊĊ,0,1.01053,0.719987,0.839677,0.50757,0.544329
full,0,6,Cut,0,0.900371,0.523069,0.803264,0.245118,0.846225
full,0,7,ting,0,1.01261,0.622736,0.779307,0.366732,0.718745
full,1,0,<|begin_of_text|>,1,480.895,5.31309,0.00479317,0.999011,0.999989
full,1,1,<|begin_of_text|>,1,480.895,5.31309,0.00479317,0.999011,0.999989
full,1,2,<|start_header_id|>,0,2.18303,1.87309,0.626931,0.607844,0.803193
full,1,3,system,0,1.06979,0.729987,0.798653,0.451144,0.626945
full,1,4,<|end_header_id|>,0,0.924027,6.47027,2.75281,2.75773,0.18622
full,1,5,ĊĊ,0,1.01042,0.723749,0.841963,0.511214,0.54032
full,1,6,Cut,0,0.900442,0.523995,0.803911,0.244264,0.8462
full,1,7,ting,0,1.01186,0.623299,0.780237,0.371279,0.712508
full,2,0,<|begin_of_text|>,1,480.895,5.31309,0.00479317,0.999011,0.999989
full,2,1,<|begin_of_text|>,1,480.895,5.31309,0.00479317,0.999011,0.999989
full,2,2,<|start_header_id|>,0,2.18303,1.87309,0.626931,0.607844,0.803193
full,2,3,system,0,1.06979,0.729987,0.798653,0.451144,0.626945
full,2,4,<|end_header_id|>,0,0.924027,6.47027,2.75281,2.75773,0.18622
full,2,5,ĊĊ,0,1.01042,0.723749,0.841963,0.511214,0.54032
full,2,6,Cut,0,0.900442,0.523995,0.803911,0.244264,0.8462
full,2,7,ting,0,1.01186,0.623299,0.780237,0.371279,0.712508
full,3,0,<|begin_of_text|>,1,480.895,5.86821,0.00503735,0.998957,0.999988
full,3,1,<|begin_of_text|>,1,480.895,5.86821,0.00503735,0.998957,0.999988
full,3,2,<|start_header_id|>,0,2.18283,1.84973,0.623065,0.601998,0.809132
full,3,3,system,0,1.06986,0.727765,0.797386,0.44879,0.630125
full,3,4,<|end_header_id|>,0,0.928914,6.6997,2.78646,2.78202,0.175283
full,3,5,ĊĊ,0,1.01053,0.719987,0.839677,0.50757,0.544329
full,3,6,Cut,0,0.900371,0.523069,0.803264,0.245118,0.846225
full,3,7,ting,0,1.01261,0.622736,0.779307,0.366732,0.718745
full,4,0,<|begin_of_text|>,1,480.895,5.30994,0.00479175,0.999011,0.999989
full,4,1,<|begin_of_text|>,1,480.895,5.30994,0.00479175,0.999011,0.999989
full,4,2,<|start_header_id|>,0,2.18742,1.84964,0.621743,0.599588,0.811341
full,4,3,system,0,1.06948,0.727033,0.797267,0.448506,0.630451
full,4,4,<|end_header_id|>,0,0.921628,6.39755,2.74442,2.74857,0.186059
full,4,5,ĊĊ,0,1.01076,0.729236,0.844861,0.516589,0.535313
full,4,6,Cut,0,0.900532,0.526597,0.805824,0.242101,0.845228
full,4,7,ting,0,1.01143,0.620128,0.778585,0.363918,0.723023
full,5,0,<|begin_of_text|>,1,480.895,5.86821,0.00503735,0.998957,0.999988
full,5,1,<|begin_of_text|>,1,480.895,5.86821,0.00503735,0.998957,0.999988
full,5,2,<|start_header_id|>,0,2.18283,1.84973,0.623065,0.601998,0.809132
full,5,3,system,0,1.06986,0.727765,0.797386,0.44879,0.630125
full,5,4,<|end_header_id|>,0,0.928914,6.6997,2.78646,2.78202,0.175283
full,5,5,ĊĊ,0,1.01053,0.719987,0.839677,0.50757,0.544329
full,5,6,Cut,0,0.900371,0.523069,0.803264,0.245118,0.846225
full,5,7,ting,0,1.01261,0.622736,0.779307,0.366732,0.718745
full,6,0,<|begin_of_text|>,1,480.895,5.30994,0.00479175,0.999011,0.999989
full,6,1,<|begin_of_text|>,1,480.895,5.30994,0.00479175,0.999011,0.999989
full,6,2,<|start_header_id|>,0,2.18742,1.84964,0.621743,0.599588,0.811341
full,6,3,system,0,1.06948,0.727033,0.797267,0.448506,0.630451
full,6,4,<|end_header_id|>,0,0.921628,6.39755,2.74442,2.74857,0.186059
full,6,5,ĊĊ,0,1.01076,0.729236,0.844861,0.516589,0.535313
full,6,6,Cut,0,0.900532,0.526597,0.805824,0.242101,0.845228
full,6,7,ting,0,1.01143,0.620128,0.778585,0.363918,0.723023
full,7,0,<|begin_of_text|>,1,480.895,5.30994,0.00479175,0.999011,0.999989
full,7,1,<|begin_of_text|>,1,480.895,5.30994,0.00479175,0.999011,0.999989
full,7,2,<|start_header_id|>,0,2.18742,1.84964,0.621743,0.599588,0.811341
full,7,3,system,0,1.06948,0.727033,0.797267,0.448506,0.630451
full,7,4,<|end_header_id|>,0,0.921628,6.39755,2.74442,2.74857,0.186059
full,7,5,ĊĊ,0,1.01076,0.729236,0.844861,0.516589,0.535313
full,7,6,Cut,0,0.900532,0.526597,0.805824,0.242101,0.845228
full,7,7,ting,0,1.01143,0.620128,0.778585,0.363918,0.723023
full,8,0,<|begin_of_text|>,1,480.895,6.51739,0.00530868,0.998889,0.999987
full,8,1,<|begin_of_text|>,1,480.895,6.51739,0.00530868,0.998889,0.999987
full,8,2,<|start_header_id|>,0,2.18391,1.84385,0.621767,0.601695,0.810579
full,8,3,system,0,1.06968,0.7265,0.796824,0.44745,0.631672
full,8,4,<|end_header_id|>,0,0.928152,6.63022,2.77424,2.77557,0.181468
full,8,5,ĊĊ,0,1.01169,0.729868,0.844451,0.515523,0.536024
full,8,6,Cut,0,0.899934,0.520957,0.80203,0.247481,0.844501
full,8,7,ting,0,1.01256,0.621628,0.778653,0.364356,0.722445
full,9,0,<|begin_of_text|>,1,480.895,5.30994,0.00479175,0.999011,0.999989
full,9,1,<|begin_of_text|>,1,480.895,5.30994,0.00479175,0.999011,0.999989
full,9,2,<|start_header_id|>,0,2.18742,1.84964,0.621743,0.599588,0.811341
full,9,3,system,0,1.06948,0.727033,0.797267,0.448506,0.630451
full,9,4,<|end_header_id|>,0,0.921628,6.39755,2.74442,2.74857,0.186059
full,9,5,ĊĊ,0,1.01076,0.729236,0.844861,0.516589,0.535313
full,9,6,Cut,0,0.900532,0.526597,0.805824,0.242101,0.845228
full,9,7,ting,0,1.01143,0.620128,0.778585,0.363918,0.723023
full,10,0,<|begin_of_text|>,1,480.895,6.51739,0.00530868,0.998889,0.999987
full,10,1,<|begin_of_text|>,1,480.895,6.51739,0.00530868,0.998889,0.999987
full,10,2,<|start_header_id|>,0,2.18391,1.84385,0.621767,0.601695,0.810579
full,10,3,system,0,1.06968,0.7265,0.796824,0.44745,0.631672
full,10,4,<|end_header_id|>,0,0.928152,6.63022,2.77424,2.77557,0.181468
full,10,5,ĊĊ,0,1.01169,0.729868,0.844451,0.515523,0.536024
full,10,6,Cut,0,0.899934,0.520957,0.80203,0.247481,0.844501
full,10,7,ting,0,1.01256,0.621628,0.778653,0.364356,0.722445
full,11,0,<|begin_of_text|>,1,480.895,5.31309,0.00479317,0.999011,0.999989
full,11,1,<|begin_of_text|>,1,480.895,5.31309,0.00479317,0.999011,0.999989
full,11,2,<|start_header_id|>,0,2.18303,1.87309,0.626931,0.607844,0.803193
full,11,3,system,0,1.06979,0.729987,0.798653,0.451144,0.626945
full,11,4,<|end_header_id|>,0,0.924027,6.47027,2.75281,2.75773,0.18622
full,11,5,ĊĊ,0,1.01042,0.723749,0.841963,0.511214,0.54032
full,11,6,Cut,0,0.900442,0.523995,0.803911,0.244264,0.8462
full,11,7,ting,0,1.01186,0.623299,0.780237,0.371279,0.712508
full,12,0,<|begin_of_text|>,1,480.895,5.31309,0.00479317,0.999011,0.999989
full,12,1,<|begin_of_text|>,1,480.895,5.31309,0.00479317,0.999011,0.999989
full,12,2,<|start_header_id|>,0,2.18303,1.87309,0.626931,0.607844,0.803193
full,12,3,system,0,1.06979,0.729987,0.798653,0.451144,0.626945
full,12,4,<|end_header_id|>,0,0.924027,6.47027,2.75281,2.75773,0.18622
full,12,5,ĊĊ,0,1.01042,0.723749,0.841963,0.511214,0.54032
full,12,6,Cut,0,0.900442,0.523995,0.803911,0.244264,0.8462
full,12,7,ting,0,1.01186,0.623299,0.780237,0.371279,0.712508
full,13,0,<|begin_of_text|>,1,480.895,5.04247,0.00466951,0.999036,0.99999
full,13,1,<|begin_of_text|>,1,480.895,5.04247,0.00466951,0.999036,0.99999
full,13,2,<|start_header_id|>,0,2.1858,1.84751,0.621847,0.601584,0.810535
full,13,3,system,0,1.07012,0.726593,0.79655,0.446659,0.632487
full,13,4,<|end_header_id|>,0,0.928443,6.61298,2.76977,2.7715,0.182137
full,13,5,ĊĊ,0,1.0107,0.722803,0.841175,0.509753,0.541706
full,13,6,Cut,0,0.9007,0.524795,0.804294,0.243626,0.846511
full,13,7,ting,0,1.0117,0.621241,0.779071,0.3661,0.719854
full,14,0,<|begin_of_text|>,1,480.895,6.51739,0.00530868,0.998889,0.999987
full,14,1,<|begin_of_text|>,1,480.895,6.51739,0.00530868,0.998889,0.999987
full,14,2,<|start_header_id|>,0,2.18391,1.84385,0.621767,0.601695,0.810579
full,14,3,system,0,1.06968,0.7265,0.796824,0.44745,0.631672
full,14,4,<|end_header_id|>,0,0.928152,6.63022,2.77424,2.77557,0.181468
full,14,5,ĊĊ,0,1.01169,0.729868,0.844451,0.515523,0.536024
full,14,6,Cut,0,0.899934,0.520957,0.80203,0.247481,0.844501
full,14,7,ting,0,1.01256,0.621628,0.778653,0.364356,0.722445
full,15,0,<|begin_of_text|>,1,480.895,5.31309,0.00479317,0.999011,0.999989
