hessian,prompt,pos,token,is_sink,znorm,r_sq,amp,pred_ratio,cos_pred
full,0,0,<s>,1,798.839,26.6543,0.00646286,0.994047,0.999997
full,0,1,<s>,1,798.839,26.6543,0.00646286,0.994047,0.999997
full,0,2,[INST],0,1.1873,13.059,3.04364,2.87484,0.000163594
full,0,3,▁Write,0,0.810012,1.66076,1.59097,1.22156,-0.0159574
full,0,4,▁a,0,1.20638,1.44904,0.997825,0.273785,0.144829
full,0,5,▁,0,34.6283,2187.04,1.35051,2.33546,0.991345
full,0,6,3,0,0.769042,0.655872,1.05308,0.396303,0.0606692
full,0,7,0,0,0.914215,1.1065,1.15061,0.51035,-0.0621555
full,1,0,<s>,1,798.841,25.8624,0.00636611,0.994157,0.999997
full,1,1,<s>,1,798.841,25.8624,0.00636611,0.994157,0.999997
full,1,2,[INST],0,1.182,13.32,3.08769,2.92063,-0.000647161
full,1,3,▁I,0,0.830184,10.9741,3.99033,3.76843,-0.0957524
full,1,4,▁am,0,0.867862,2.3804,1.77776,1.47796,0.00809104
full,1,5,▁planning,0,1.02301,1.58339,1.23003,0.748231,0.0313254
full,1,6,▁a,0,1.09974,2.53945,1.44903,1.07537,0.026375
full,1,7,▁trip,0,0.871465,0.766312,1.00451,0.293952,0.13161
full,2,0,<s>,1,798.841,25.8624,0.00636611,0.994157,0.999997
full,2,1,<s>,1,798.841,25.8624,0.00636611,0.994157,0.999997
full,2,2,[INST],0,1.182,13.32,3.08769,2.92063,-0.000647161
full,2,3,▁Write,0,0.810876,1.59388,1.55695,1.17834,-0.0151057
full,2,4,▁a,0,1.20936,1.40839,0.981312,0.197839,0.192497
full,2,5,▁resume,0,1.3034,3.48829,1.43294,1.03025,0.00393084
full,2,6,▁for,0,1.00182,15.5565,3.93702,3.43705,-0.390866
full,2,7,▁a,0,0.940732,1.68821,1.38117,1.01483,0.0602312
full,3,0,<s>,1,798.837,29.1847,0.00676269,0.993693,0.999997
full,3,1,<s>,1,798.837,29.1847,0.00676269,0.993693,0.999997
full,3,2,[INST],0,1.18766,13.0592,3.04274,2.87387,0.000148949
full,3,3,▁Write,0,0.809749,1.63405,1.57864,1.20649,-0.0151114
full,3,4,▁an,0,1.16752,1.38878,1.00937,0.309949,0.124589
full,3,5,▁email,0,0.926756,0.909201,1.02888,0.214165,-0.0297146
full,3,6,▁to,0,1.31899,34.5875,4.45879,3.92506,-0.442634
full,3,7,▁my,0,0.867977,2.73591,1.90565,1.61824,-0.00395083
full,4,0,<s>,1,798.841,25.8624,0.00636611,0.994157,0.999997
full,4,1,<s>,1,798.841,25.8624,0.00636611,0.994157,0.999997
full,4,2,[INST],0,1.182,13.32,3.08769,2.92063,-0.000647161
full,4,3,▁Given,0,0.873692,1.78524,1.52929,1.15029,-0.00676312
full,4,4,▁the,0,0.988753,1.79013,1.35318,0.926853,0.0150858
full,4,5,▁sentence,0,0.95495,1.12842,1.11238,0.481194,-0.00607756
full,4,6,"▁""",0,1.00864,1.00329,0.993066,0.142477,0.11974
full,4,7,Two,0,0.773136,1.83197,1.75067,1.37321,-0.0652214
full,5,0,<s>,1,798.837,30.1347,0.00687187,0.993578,0.999997
full,5,1,<s>,1,798.837,30.1347,0.00687187,0.993578,0.999997
full,5,2,[INST],0,1.18733,13.0625,3.04399,2.875,-3.67843e-05
full,5,3,▁Write,0,0.809892,1.58936,1.55663,1.17928,-0.0137289
full,5,4,▁a,0,1.2107,1.46578,0.999997,0.281969,0.140996
full,5,5,▁dialogue,0,0.811822,3.0329,2.1452,1.68973,-0.220948
full,5,6,▁between,0,1.01839,1.0667,1.01417,0.226096,0.0499411
full,5,7,▁two,0,0.81387,0.642721,0.985045,0.149547,0.174025
full,6,0,<s>,1,798.841,25.8624,0.00636611,0.994157,0.999997
full,6,1,<s>,1,798.841,25.8624,0.00636611,0.994157,0.999997
full,6,2,[INST],0,1.182,13.32,3.08769,2.92063,-0.000647161
full,6,3,▁Write,0,0.810876,1.59388,1.55695,1.17834,-0.0151057
full,6,4,▁a,0,1.20936,1.40839,0.981312,0.197839,0.192497
full,6,5,▁,0,34.6207,2161.07,1.34276,2.32789,0.991468
full,6,6,2,0,0.66452,0.5801,1.14615,0.661932,0.0940317
full,6,7,▁paragraph,0,1.06195,1.13998,1.00541,0.177066,0.0578705
full,7,0,<s>,1,798.841,25.8624,0.00636611,0.994157,0.999997
full,7,1,<s>,1,798.841,25.8624,0.00636611,0.994157,0.999997
full,7,2,[INST],0,1.182,13.32,3.08769,2.92063,-0.000647161
full,7,3,▁Write,0,0.810876,1.59388,1.55695,1.17834,-0.0151057
full,7,4,▁me,0,1.30297,1.78391,1.02507,0.261658,0.0338321
full,7,5,▁a,0,0.901886,2.83401,1.86659,1.60901,0.0325489
full,7,6,▁resume,0,1.29906,3.54534,1.44944,1.05388,0.00464282
full,7,7,▁for,0,0.928559,8.57231,3.15311,2.66593,-0.344146
full,8,0,<s>,1,798.841,25.9716,0.00637953,0.994144,0.999997
full,8,1,<s>,1,798.841,25.9716,0.00637953,0.994144,0.999997
full,8,2,[INST],0,1.18265,13.3185,3.08582,2.9186,-0.000696328
full,8,3,▁Write,0,0.810599,1.61499,1.56776,1.1931,-0.0144044
full,8,4,▁a,0,1.20847,1.43128,0.989979,0.241835,0.162147
full,8,5,▁letter,0,0.86973,1.97509,1.61588,1.18258,-0.0898707
full,8,6,▁to,0,1.51329,79.7347,5.90067,5.35582,-0.479209
full,8,7,▁a,0,0.926528,1.27546,1.21892,0.749628,0.0508078
full,9,0,<s>,1,798.841,25.8624,0.00636611,0.994157,0.999997
full,9,1,<s>,1,798.841,25.8624,0.00636611,0.994157,0.999997
full,9,2,[INST],0,1.182,13.32,3.08769,2.92063,-0.000647161
full,9,3,▁Write,0,0.810876,1.59388,1.55695,1.17834,-0.0151057
full,9,4,▁a,0,1.20936,1.40839,0.981312,0.197839,0.192497
full,9,5,▁long,0,0.987703,1.4065,1.20073,0.729068,0.061585
full,9,6,▁email,0,0.950059,0.940106,1.02056,0.207241,0.00340174
full,9,7,▁template,0,1.00865,9.15488,2.99975,2.57402,-0.266688
full,10,0,<s>,1,798.841,25.9716,0.00637953,0.994144,0.999997
full,10,1,<s>,1,798.841,25.9716,0.00637953,0.994144,0.999997
full,10,2,[INST],0,1.18265,13.3185,3.08582,2.9186,-0.000696328
full,10,3,▁Write,0,0.810599,1.61499,1.56776,1.1931,-0.0144044
full,10,4,▁a,0,1.20847,1.43128,0.989979,0.241835,0.162147
full,10,5,▁blog,0,0.85959,0.761723,1.01533,0.324061,0.114365
full,10,6,▁post,0,1.34619,1.88454,1.01976,0.223618,0.0225845
full,10,7,▁with,0,1.14989,26.571,4.48276,3.94393,-0.448863
full,11,0,<s>,1,798.841,25.8624,0.00636611,0.994157,0.999997
full,11,1,<s>,1,798.841,25.8624,0.00636611,0.994157,0.999997
full,11,2,[INST],0,1.182,13.32,3.08769,2.92063,-0.000647161
full,11,3,▁Can,0,0.871078,0.789688,1.02017,0.30728,0.0873513
full,11,4,▁you,0,1.36397,2.49547,1.15817,0.676112,0.0856195
full,11,5,▁help,0,1.08453,1.42627,1.10118,0.529357,0.0638674
full,11,6,▁me,0,1.35491,5.35534,1.70798,1.38003,-0.00461619
full,11,7,▁make,0,0.827941,2.65728,1.96888,1.70501,0.00896355
full,12,0,<s>,1,798.841,25.8624,0.00636611,0.994157,0.999997
full,12,1,<s>,1,798.841,25.8624,0.00636611,0.994157,0.999997
full,12,2,[INST],0,1.182,13.32,3.08769,2.92063,-0.000647161
full,12,3,▁Write,0,0.810876,1.59388,1.55695,1.17834,-0.0151057
full,12,4,▁a,0,1.20936,1.40839,0.981312,0.197839,0.192497
full,12,5,▁story,0,0.942665,1.03596,1.07973,0.309978,-0.112474
full,12,6,▁of,0,1.27378,3.8347,1.53734,1.02671,-0.150615
full,12,7,▁exactly,0,0.877724,1.00381,1.14148,0.618807,0.0646019
full,13,0,<s>,1,798.841,25.8624,0.00636611,0.994157,0.999997
full,13,1,<s>,1,798.841,25.8624,0.00636611,0.994157,0.999997
full,13,2,[INST],0,1.182,13.32,3.08769,2.92063,-0.000647161
full,13,3,▁Write,0,0.810876,1.59388,1.55695,1.17834,-0.0151057
full,13,4,▁a,0,1.20936,1.40839,0.981312,0.197839,0.192497
full,13,5,▁detailed,0,0.944615,2.77768,1.76436,1.49391,0.0397609
