hessian,prompt,pos,token,is_sink,znorm,r_sq,amp,pred_ratio,cos_pred
full,0,0,<s>,1,798.839,18.3954,0.00536902,0.995249,0.999997
full,0,1,<s>,1,798.839,18.3954,0.00536902,0.995249,0.999997
full,0,2,[INST],0,1.1873,6.67449,2.17594,1.99006,0.0566843
full,0,3,▁Write,0,0.810012,2.31817,1.87967,1.56331,-0.0285375
full,0,4,▁a,0,1.20638,1.65951,1.06784,0.446333,0.0660239
full,0,5,▁,0,34.6283,3283.15,1.65468,2.6395,0.990524
full,0,6,3,0,0.769042,0.559044,0.972239,0.185892,0.240211
full,0,7,0,0,0.914215,0.895363,1.03503,0.190581,-0.0917135
full,1,0,<s>,1,798.841,19.4493,0.00552066,0.995073,0.999997
full,1,1,<s>,1,798.841,19.4493,0.00552066,0.995073,0.999997
full,1,2,[INST],0,1.182,6.8505,2.21433,2.03113,0.0547045
full,1,3,▁I,0,0.830184,14.6445,4.60959,4.40695,-0.0938435
full,1,4,▁am,0,0.867862,2.65229,1.87655,1.58153,-0.00637832
full,1,5,▁planning,0,1.02301,1.22213,1.08064,0.445114,0.0340875
full,1,6,▁a,0,1.09974,3.72483,1.75494,1.44211,-4.01518e-05
full,1,7,▁trip,0,0.871465,0.89346,1.08464,0.553109,0.117043
full,2,0,<s>,1,798.841,19.4493,0.00552066,0.995073,0.999997
full,2,1,<s>,1,798.841,19.4493,0.00552066,0.995073,0.999997
full,2,2,[INST],0,1.182,6.8505,2.21433,2.03113,0.0547045
full,2,3,▁Write,0,0.810876,2.22188,1.83825,1.5147,-0.0280167
full,2,4,▁a,0,1.20936,1.5557,1.03135,0.349597,0.083705
full,2,5,▁resume,0,1.3034,4.92767,1.70311,1.38132,0.0027081
full,2,6,▁for,0,1.00182,16.3287,4.03355,3.53561,-0.391585
full,2,7,▁a,0,0.940732,2.85398,1.7958,1.52948,0.0373997
full,3,0,<s>,1,798.837,24.2842,0.00616885,0.994327,0.999997
full,3,1,<s>,1,798.837,24.2842,0.00616885,0.994327,0.999997
full,3,2,[INST],0,1.18766,6.67441,2.17527,1.98931,0.0566864
full,3,3,▁Write,0,0.809749,2.27997,1.86472,1.54632,-0.0278305
full,3,4,▁an,0,1.16752,1.75687,1.13529,0.581622,0.0424744
full,3,5,▁email,0,0.926756,0.881445,1.01305,0.172422,0.01001
full,3,6,▁to,0,1.31899,29.8863,4.14471,3.6064,-0.439843
full,3,7,▁my,0,0.867977,4.54683,2.45667,2.22453,-0.0194816
full,4,0,<s>,1,798.841,19.4493,0.00552066,0.995073,0.999997
full,4,1,<s>,1,798.841,19.4493,0.00552066,0.995073,0.999997
full,4,2,[INST],0,1.182,6.8505,2.21433,2.03113,0.0547045
full,4,3,▁Given,0,0.873692,2.22705,1.70807,1.3772,-0.00755922
full,4,4,▁the,0,0.988753,1.90639,1.39643,0.98449,0.00975729
full,4,5,▁sentence,0,0.95495,1.36302,1.22256,0.717899,0.0144345
full,4,6,"▁""",0,1.00864,1.17294,1.07375,0.393213,0.00214352
full,4,7,Two,0,0.773136,1.40707,1.53427,1.09976,-0.065706
full,5,0,<s>,1,798.837,24.7065,0.00622225,0.994272,0.999997
full,5,1,<s>,1,798.837,24.7065,0.00622225,0.994272,0.999997
full,5,2,[INST],0,1.18733,6.67492,2.17596,1.98989,0.056493
full,5,3,▁Write,0,0.809892,2.21865,1.83915,1.51695,-0.0268114
full,5,4,▁a,0,1.2107,1.68599,1.07249,0.457206,0.0643129
full,5,5,▁dialogue,0,0.811822,2.67062,2.01301,1.54378,-0.216653
full,5,6,▁between,0,1.01839,1.30309,1.12092,0.512012,0.00555913
full,5,7,▁two,0,0.81387,0.75931,1.07067,0.439065,0.0528962
full,6,0,<s>,1,798.841,19.4493,0.00552066,0.995073,0.999997
full,6,1,<s>,1,798.841,19.4493,0.00552066,0.995073,0.999997
full,6,2,[INST],0,1.182,6.8505,2.21433,2.03113,0.0547045
full,6,3,▁Write,0,0.810876,2.22188,1.83825,1.5147,-0.0280167
full,6,4,▁a,0,1.20936,1.5557,1.03135,0.349597,0.083705
full,6,5,▁,0,34.6207,3238.16,1.64366,2.62867,0.990665
full,6,6,2,0,0.66452,0.432089,0.989186,0.338164,0.200887
