hessian,prompt,pos,token,is_sink,znorm,r_sq,amp,pred_ratio,cos_pred
full,0,0,<|im_start|>,1,38.1927,2124.16,1.20674,0.675678,0.00023891
full,0,1,system,0,13.6222,1408.9,2.75545,2.56896,0.00137454
full,0,2,Ċ,1,66.2482,231262,7.25903,7.18945,-0.000366077
full,0,3,You,0,8.77148,401.537,2.28449,2.05795,0.00394344
full,0,4,Ġare,0,12.6059,209.315,1.14769,0.580037,0.0165921
full,0,5,ĠQ,0,7.74301,109.516,1.35154,0.926804,0.0174273
full,0,6,wen,0,26.1885,729.892,1.03162,0.256417,0.00295531
full,0,7,",",0,3.96081,166.08,3.25368,3.11185,0.0156155
full,1,0,<|im_start|>,1,37.9393,2111.03,1.21104,0.683316,0.000226664
full,1,1,system,0,13.629,1410.94,2.75607,2.56962,0.00136999
full,1,2,Ċ,1,66.2482,231341,7.26026,7.19069,-0.000371658
full,1,3,You,0,8.82517,406.867,2.28562,2.05917,0.0039173
full,1,4,Ġare,0,12.6227,209.656,1.1471,0.578837,0.0166025
full,1,5,ĠQ,0,7.75274,109.595,1.35033,0.924968,0.0173902
full,1,6,wen,0,26.1943,731.03,1.03219,0.258736,0.00294114
full,1,7,",",0,3.96044,167.071,3.26368,3.12238,0.0156357
full,2,0,<|im_start|>,1,37.9393,2111.03,1.21104,0.683316,0.000226664
full,2,1,system,0,13.629,1410.94,2.75607,2.56962,0.00136999
full,2,2,Ċ,1,66.2482,231341,7.26026,7.19069,-0.000371658
full,2,3,You,0,8.82517,406.867,2.28562,2.05917,0.0039173
full,2,4,Ġare,0,12.6227,209.656,1.1471,0.578837,0.0166025
full,2,5,ĠQ,0,7.75274,109.595,1.35033,0.924968,0.0173902
full,2,6,wen,0,26.1943,731.03,1.03219,0.258736,0.00294114
full,2,7,",",0,3.96044,167.071,3.26368,3.12238,0.0156357
full,3,0,<|im_start|>,1,38.1927,2124.16,1.20674,0.675678,0.00023891
full,3,1,system,0,13.6222,1408.9,2.75545,2.56896,0.00137454
full,3,2,Ċ,1,66.2482,231262,7.25903,7.18945,-0.000366077
full,3,3,You,0,8.77148,401.537,2.28449,2.05795,0.00394344
full,3,4,Ġare,0,12.6059,209.315,1.14769,0.580037,0.0165921
full,3,5,ĠQ,0,7.74301,109.516,1.35154,0.926804,0.0174273
full,3,6,wen,0,26.1885,729.892,1.03162,0.256417,0.00295531
full,3,7,",",0,3.96081,166.08,3.25368,3.11185,0.0156155
full,4,0,<|im_start|>,1,37.9393,2111.03,1.21104,0.683316,0.000226664
full,4,1,system,0,13.629,1410.94,2.75607,2.56962,0.00136999
full,4,2,Ċ,1,66.2482,231341,7.26026,7.19069,-0.000371658
full,4,3,You,0,8.82517,406.867,2.28562,2.05917,0.0039173
full,4,4,Ġare,0,12.6227,209.656,1.1471,0.578837,0.0166025
full,4,5,ĠQ,0,7.75274,109.595,1.35033,0.924968,0.0173902
full,4,6,wen,0,26.1943,731.03,1.03219,0.258736,0.00294114
full,4,7,",",0,3.96044,167.071,3.26368,3.12238,0.0156357
full,5,0,<|im_start|>,1,38.2051,2041.08,1.18252,0.631429,0.000274404
full,5,1,system,0,13.5208,1410.37,2.77756,2.5927,0.00139705
full,5,2,Ċ,1,66.2477,231479,7.26248,7.19307,-0.000235814
full,5,3,You,0,8.8306,409.069,2.29038,2.06443,0.00388064
full,5,4,Ġare,0,12.6076,208.027,1.144,0.572685,0.0167905
full,5,5,ĠQ,0,7.74061,110.71,1.35931,0.938048,0.0171691
full,5,6,wen,0,26.2147,730.876,1.03128,0.255059,0.00296879
full,5,7,",",0,3.94036,167.208,3.28165,3.14128,0.0156676
full,6,0,<|im_start|>,1,37.9393,2111.03,1.21104,0.683316,0.000226664
full,6,1,system,0,13.629,1410.94,2.75607,2.56962,0.00136999
full,6,2,Ċ,1,66.2482,231341,7.26026,7.19069,-0.000371658
full,6,3,You,0,8.82517,406.867,2.28562,2.05917,0.0039173
full,6,4,Ġare,0,12.6227,209.656,1.1471,0.578837,0.0166025
full,6,5,ĠQ,0,7.75274,109.595,1.35033,0.924968,0.0173902
full,6,6,wen,0,26.1943,731.03,1.03219,0.258736,0.00294114
full,6,7,",",0,3.96044,167.071,3.26368,3.12238,0.0156357
full,7,0,<|im_start|>,1,37.9393,2111.03,1.21104,0.683316,0.000226664
full,7,1,system,0,13.629,1410.94,2.75607,2.56962,0.00136999
full,7,2,Ċ,1,66.2482,231341,7.26026,7.19069,-0.000371658
full,7,3,You,0,8.82517,406.867,2.28562,2.05917,0.0039173
full,7,4,Ġare,0,12.6227,209.656,1.1471,0.578837,0.0166025
full,7,5,ĠQ,0,7.75274,109.595,1.35033,0.924968,0.0173902
full,7,6,wen,0,26.1943,731.03,1.03219,0.258736,0.00294114
full,7,7,",",0,3.96044,167.071,3.26368,3.12238,0.0156357
full,8,0,<|im_start|>,1,38.2011,2132.62,1.20887,0.67949,0.000244412
full,8,1,system,0,13.5292,1424.97,2.79017,2.60619,0.00138259
full,8,2,Ċ,1,66.2071,231187,7.26235,7.19287,-0.000305985
full,8,3,You,0,8.79821,405.58,2.28899,2.06291,0.00390649
full,8,4,Ġare,0,12.6112,211.179,1.15231,0.589119,0.0163351
full,8,5,ĠQ,0,7.70708,110.254,1.36241,0.94263,0.0171786
full,8,6,wen,0,26.259,733.52,1.0314,0.255515,0.00293238
full,8,7,",",0,3.95156,170.563,3.30502,3.16561,0.0154683
full,9,0,<|im_start|>,1,37.9393,2111.03,1.21104,0.683316,0.000226664
full,9,1,system,0,13.629,1410.94,2.75607,2.56962,0.00136999
full,9,2,Ċ,1,66.2482,231341,7.26026,7.19069,-0.000371658
full,9,3,You,0,8.82517,406.867,2.28562,2.05917,0.0039173
full,9,4,Ġare,0,12.6227,209.656,1.1471,0.578837,0.0166025
full,9,5,ĠQ,0,7.75274,109.595,1.35033,0.924968,0.0173902
full,9,6,wen,0,26.1943,731.03,1.03219,0.258736,0.00294114
full,9,7,",",0,3.96044,167.071,3.26368,3.12238,0.0156357
full,10,0,<|im_start|>,1,38.2011,2132.62,1.20887,0.67949,0.000244412
full,10,1,system,0,13.5292,1424.97,2.79017,2.60619,0.00138259
full,10,2,Ċ,1,66.2071,231187,7.26235,7.19287,-0.000305985
full,10,3,You,0,8.79821,405.58,2.28899,2.06291,0.00390649
full,10,4,Ġare,0,12.6112,211.179,1.15231,0.589119,0.0163351
