hessian,prompt,pos,token,is_sink,znorm,r_sq,amp,pred_ratio,cos_pred
full,0,0,<|im_start|>,1,38.1927,0.458216,0.0177237,0.986437,0.999934
full,0,1,system,0,13.6222,0.231334,0.0353079,0.991213,0.99941
full,0,2,Ċ,1,66.2482,0.253843,0.00760517,0.996401,0.999977
full,0,3,You,0,8.77148,0.327452,0.0652381,0.970932,0.998243
full,0,4,Ġare,0,12.6059,0.443346,0.0528197,0.982421,0.998737
full,0,5,ĠQ,0,7.74301,0.305749,0.0714123,0.964505,0.998009
full,0,6,wen,0,26.1885,0.23666,0.018576,0.996252,0.999834
full,0,7,",",0,3.96081,0.525023,0.182938,0.922715,0.985102
full,1,0,<|im_start|>,1,37.9393,0.513094,0.0188803,0.984153,0.999946
full,1,1,system,0,13.629,0.233046,0.0354206,0.991442,0.999404
full,1,2,Ċ,1,66.2482,0.253788,0.00760433,0.996291,0.999978
full,1,3,You,0,8.82517,0.329426,0.0650363,0.974116,0.998173
full,1,4,Ġare,0,12.6227,0.446116,0.052914,0.982695,0.998728
full,1,5,ĠQ,0,7.75274,0.300181,0.0706702,0.967343,0.99797
full,1,6,wen,0,26.1943,0.222083,0.0179908,0.997603,0.999841
full,1,7,",",0,3.96044,0.524579,0.182878,0.92588,0.984906
full,2,0,<|im_start|>,1,37.9393,0.513094,0.0188803,0.984153,0.999946
full,2,1,system,0,13.629,0.233046,0.0354206,0.991442,0.999404
full,2,2,Ċ,1,66.2482,0.253788,0.00760433,0.996291,0.999978
full,2,3,You,0,8.82517,0.329426,0.0650363,0.974116,0.998173
full,2,4,Ġare,0,12.6227,0.446116,0.052914,0.982695,0.998728
full,2,5,ĠQ,0,7.75274,0.300181,0.0706702,0.967343,0.99797
full,2,6,wen,0,26.1943,0.222083,0.0179908,0.997603,0.999841
full,2,7,",",0,3.96044,0.524579,0.182878,0.92588,0.984906
full,3,0,<|im_start|>,1,38.1927,0.458216,0.0177237,0.986437,0.999934
full,3,1,system,0,13.6222,0.231334,0.0353079,0.991213,0.99941
full,3,2,Ċ,1,66.2482,0.253843,0.00760517,0.996401,0.999977
full,3,3,You,0,8.77148,0.327452,0.0652381,0.970932,0.998243
full,3,4,Ġare,0,12.6059,0.443346,0.0528197,0.982421,0.998737
full,3,5,ĠQ,0,7.74301,0.305749,0.0714123,0.964505,0.998009
full,3,6,wen,0,26.1885,0.23666,0.018576,0.996252,0.999834
